url,name,ingredient
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,coconut flakes
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,oatmeal
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,almond
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,dates
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,cashews
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,coconut
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,coconut milk
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,coconut oil
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,lime juice
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,coconut sugar
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,tonka bean
https://food.ndtv.com/recipe-mango-cheesecake-953599,Mango Cheesecake,mango
https://food.ndtv.com/recipe-mango-feta-dip-953595,Mango Feta Dip,ripe mango
https://food.ndtv.com/recipe-mango-feta-dip-953595,Mango Feta Dip,greek feta cheese
https://food.ndtv.com/recipe-mango-feta-dip-953595,Mango Feta Dip,white wine vinegar
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,carrot
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,flour
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,castor sugar
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,egg
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,oil
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,baking soda
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,baking powder
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,salt
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,walnut
https://food.ndtv.com/recipe-carrot-cake-953554,Carrot Cake,cinnamon stick
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,saffron
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,cold milk
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,yogurt
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,sugar
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,cardamom powder
https://food.ndtv.com/recipe-kesari-shrikhand-953540,Kesari Shrikhand,dry fruit slivers
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,water
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,asafoetida
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,turmeric powder
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,red chilli powder
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,yellow mustard
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,salt
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,black salt
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,mustard oil
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,moong dal
https://food.ndtv.com/recipe-kanji-vada-953501,Kanji Vada,oil
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,milk
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,sugar
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,pistachio
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,saffron
https://food.ndtv.com/recipe-thandai-barfi-953499,Thandai Barfi,thandai syrup
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,flour
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,ghee
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,water
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,salt
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,dark chocolate
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,prunes
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,mawa
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,sugar
https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497,Chocolate Prunes Gujiyas,cardamom
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,maida
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,semolina
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,ghee
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,milk
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,saffron
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,sugar
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,mawa
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,coconut
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,pistachio
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,almond
https://food.ndtv.com/recipe-kesari-gujiya-953493,Kesari Gujiya,cardamom powder
https://food.ndtv.com/recipe-bhang-peda-953492,Bhang Peda,bhang powder
https://food.ndtv.com/recipe-bhang-peda-953492,Bhang Peda,mawa
https://food.ndtv.com/recipe-bhang-peda-953492,Bhang Peda,sugar
https://food.ndtv.com/recipe-bhang-peda-953492,Bhang Peda,pistachios
https://food.ndtv.com/recipe-bhang-peda-953492,Bhang Peda,ghee
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,vermicelli
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,pure ghee
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,milk
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,grain sugar
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,green cardamom
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,clove
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,almond
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,kishmish
https://food.ndtv.com/recipe-seviyan-kheer-953482,Seviyan Kheer,rose petals
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,milk
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,water
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,sugar
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,saunf
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,cardamom powder
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,almond
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,pistachio
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,watermelon seed skinned
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,poppy seeds
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,rose water
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,black pepper corn
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,rose petals
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,flour
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,grain sugar
https://food.ndtv.com/recipe-thandai-rasmalai-953481,Thandai Rasmalai,white vinegar curdle milk
https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479,Badam Aur Gulkand Ki Kulfi,almond
https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479,Badam Aur Gulkand Ki Kulfi,gulab ki patti
https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479,Badam Aur Gulkand Ki Kulfi,milk
https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479,Badam Aur Gulkand Ki Kulfi,mawa
https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479,Badam Aur Gulkand Ki Kulfi,sugar
https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479,Badam Aur Gulkand Ki Kulfi,saffron
https://food.ndtv.com/recipe-almond-white-chocolate-gujiya-953477,Almond & White Chocolate Gujiya,flour
https://food.ndtv.com/recipe-almond-white-chocolate-gujiya-953477,Almond & White Chocolate Gujiya,butter ghee
https://food.ndtv.com/recipe-almond-white-chocolate-gujiya-953477,Almond & White Chocolate Gujiya,water
